Shipment_ID,Date,Origin_Port,Destination_Port,Transport_Mode,Product_Category,Distance_km,Weight_MT,Fuel_Price_Index,Geopolitical_Risk_Score,Weather_Condition,Carrier_Reliability_Score,Lead_Time_Days,Disruption_Occurred,Route,Year,Quarter,Month,Month_Name,Day_of_Week,Weather_Severity,Risk_Category,Reliability_Level,Fuel_Cost_Bucket,Shipment_Size,Distance_Category,Expected_Lead_Time_Days,Delay_Days,Delay_Percentage,Delay_Status,SLA_Met,Estimated_Cost_USD,Cost_Per_KM,Cost_Per_Tonne,Carbon_Emission_kg,Emission_Per_Tonne_KM,Risk_Index,Priority_Level,Chokepoint_Route,Route_Disruption_Rate
SC-10955,2025-04-06,Busan,Rotterdam,Air,Automotive,6055.51,311.65,4.03,8.1,Storm,0.985,1.58,1,Busan -> Rotterdam,2025,Q2,4,Apr,Sunday,4,High,Excellent,High,Medium,Medium-Haul,0.93,0.65,69.9,Major Delay,No,119148.35,19.68,382.31,943599.8,500,56.8,Medium,No,58.7
SC-10956,2025-03-29,Los Angeles,Antwerp,Air,Automotive,8024.31,155.15,2.53,7.6,Hurricane,0.848,4.64,1,Los Angeles -> Antwerp,2025,Q1,3,Mar,Saturday,5,High,Good,Medium,Light,Medium-Haul,0.93,3.71,398.9,Major Delay,No,70197.73,8.75,452.45,622485.8,500,65.0,High,No,58.8
SC-10957,2024-10-31,Dubai,Singapore,Sea,Automotive,1181.01,184.99,3.52,4.8,Hurricane,0.972,16.27,1,Dubai -> Singapore,2024,Q4,10,Oct,Thursday,5,Medium,Excellent,High,Medium,Short-Haul,21.79,-5.52,-25.3,On Time,Yes,738.45,0.63,3.99,1747.8,8,50.0,Medium,No,65.4
SC-10958,2025-08-25,Dubai,Singapore,Rail,Perishables,2911.11,385.1,3.04,5.4,Fog,0.658,4.57,1,Dubai -> Singapore,2025,Q3,8,Aug,Monday,2,Medium,Good,Medium,Heavy,Short-Haul,11.54,-6.97,-60.4,On Time,Yes,8771.24,3.01,22.78,24663.5,22,43.9,Medium,No,65.4
SC-10959,2025-03-15,Busan,Dubai,Rail,Electronics,11201.49,405.66,4.01,0.6,Fog,0.667,12.8,0,Busan -> Dubai,2025,Q1,3,Mar,Saturday,2,Low,Good,High,Heavy,Long-Haul,11.54,1.26,10.9,Minor Delay,No,38196.83,3.41,94.16,99967.9,22,24.4,Low,No,57.7
SC-10960,2024-11-08,Los Angeles,Singapore,Rail,Perishables,1700.58,200.78,2.24,5.6,Hurricane,0.927,12.0,1,Los Angeles -> Singapore,2024,Q4,11,Nov,Friday,5,Medium,Excellent,Low,Medium,Short-Haul,11.54,0.46,4.0,On Time,Yes,2507.55,1.47,12.49,7511.7,22,54.6,Medium,No,72.1
SC-10961,2025-08-05,Singapore,Shanghai,Sea,Electronics,9245.71,473.63,2.93,7.9,Rain,0.575,21.63,0,Singapore -> Shanghai,2025,Q3,8,Aug,Tuesday,3,High,Poor,Medium,Heavy,Long-Haul,21.79,-0.16,-0.7,On Time,Yes,14155.26,1.53,29.89,35032.4,8,62.4,High,No,60.2
SC-10962,2025-09-27,Antwerp,Busan,Rail,Textiles,4057.56,203.82,2.8,5.7,Rain,0.973,4.39,1,Antwerp -> Busan,2025,Q3,9,Sep,Saturday,3,Medium,Excellent,Medium,Medium,Medium-Haul,11.54,-7.15,-62.0,On Time,Yes,6351.45,1.57,31.16,18194.3,22,41.6,Medium,No,58.4
SC-10963,2024-03-02,Dubai,Shanghai,Rail,Pharmaceuticals,6144.79,386.15,2.37,2.7,Fog,0.754,6.44,0,Dubai -> Shanghai,2024,Q1,3,Mar,Saturday,2,Low,Good,Medium,Heavy,Medium-Haul,11.54,-5.1,-44.2,On Time,Yes,17611.0,2.87,45.61,52201.8,22,30.2,Medium,No,56.8
SC-10964,2025-09-16,Rotterdam,Antwerp,Road,Textiles,4686.06,242.45,4.14,6.7,Hurricane,0.963,29.59,1,Rotterdam -> Antwerp,2025,Q3,9,Sep,Tuesday,5,High,Excellent,High,Medium,Medium-Haul,9.3,20.29,218.2,Major Delay,No,19277.94,4.11,79.51,70440.4,62,57.9,Medium,No,59.0
SC-10965,2024-04-11,Hamburg,Marseille,Sea,Electronics,5657.25,448.87,1.75,3.6,Storm,0.668,28.63,0,Hamburg -> Marseille,2024,Q2,4,Apr,Thursday,4,Medium,Good,Low,Heavy,Medium-Haul,21.79,6.84,31.4,Minor Delay,No,7459.4,1.32,16.62,20315.0,8,48.4,Medium,No,57.1
SC-10966,2024-07-31,Singapore,Hamburg,Sea,Perishables,10926.17,453.97,1.69,5.4,Clear,0.858,18.93,0,Singapore -> Hamburg,2024,Q3,7,Jul,Wednesday,1,Medium,Excellent,Low,Heavy,Long-Haul,21.79,-2.86,-13.1,On Time,Yes,14496.05,1.33,31.93,39681.2,8,31.9,Medium,Yes,64.4
SC-10967,2025-10-02,Busan,Dubai,Sea,Electronics,4808.26,44.62,3.1,4.9,Fog,0.741,13.52,0,Busan -> Dubai,2025,Q4,10,Oct,Thursday,2,Medium,Good,Medium,Light,Medium-Haul,21.79,-8.27,-38.0,On Time,Yes,702.63,0.15,15.75,1716.4,8,39.4,Medium,No,57.7
SC-10968,2024-08-04,Busan,Dubai,Air,Perishables,8712.87,468.31,3.37,3.8,Hurricane,0.813,4.91,1,Busan -> Dubai,2024,Q3,8,Aug,Sunday,5,Medium,Good,Medium,Heavy,Medium-Haul,0.93,3.98,428.0,Major Delay,No,245492.7,28.18,524.21,2040162.1,500,50.8,Medium,No,57.7
SC-10969,2024-09-27,Hamburg,Antwerp,Rail,Automotive,7402.73,412.94,1.84,7.2,Rain,0.752,8.59,1,Hamburg -> Antwerp,2024,Q3,9,Sep,Friday,3,High,Good,Low,Heavy,Medium-Haul,11.54,-2.95,-25.6,On Time,Yes,21716.1,2.93,52.59,67251.4,22,54.2,Medium,No,62.0
SC-10970,2025-11-07,Busan,Shanghai,Rail,Automotive,10123.23,395.86,2.49,8.8,Fog,0.984,15.49,1,Busan -> Shanghai,2025,Q4,11,Nov,Friday,2,High,Excellent,Medium,Heavy,Long-Haul,11.54,3.95,34.2,Minor Delay,No,30031.32,2.97,75.86,88162.4,22,47.7,Medium,No,68.1
SC-10971,2024-03-24,Los Angeles,Dubai,Air,Pharmaceuticals,14084.03,101.25,4.32,0.1,Fog,0.846,0.64,0,Los Angeles -> Dubai,2024,Q1,3,Mar,Sunday,2,Low,Good,High,Light,Long-Haul,0.93,-0.29,-31.2,On Time,Yes,91891.96,6.52,907.57,713004.0,500,17.0,Low,No,66.2
SC-10972,2024-06-09,Rotterdam,Busan,Air,Perishables,11122.3,402.75,2.01,9.3,Storm,0.626,2.42,1,Rotterdam -> Busan,2024,Q2,6,Jun,Sunday,4,High,Poor,Low,Heavy,Long-Haul,0.93,1.49,160.2,Major Delay,No,242094.92,21.77,601.1,2239753.2,500,72.4,High,No,68.6
SC-10973,2024-09-02,Dubai,Singapore,Road,Electronics,3616.64,425.22,3.41,5.1,Hurricane,0.955,22.35,1,Dubai -> Singapore,2024,Q3,9,Sep,Monday,5,Medium,Excellent,Medium,Heavy,Medium-Haul,9.3,13.05,140.3,Major Delay,No,24747.37,6.84,58.2,95347.8,62,51.8,Medium,No,65.4
SC-10974,2024-06-26,Dubai,Antwerp,Sea,Pharmaceuticals,952.16,145.29,3.64,7.0,Clear,0.647,1.48,0,Dubai -> Antwerp,2024,Q2,6,Jun,Wednesday,1,High,Poor,High,Light,Short-Haul,21.79,-20.31,-93.2,On Time,Yes,471.74,0.5,3.25,1106.7,8,44.6,Medium,Yes,61.8
SC-10975,2025-07-19,Busan,Hamburg,Air,Pharmaceuticals,4302.83,476.18,2.68,8.6,Storm,0.686,1.49,1,Busan -> Hamburg,2025,Q3,7,Jul,Saturday,4,High,Good,Medium,Heavy,Medium-Haul,0.93,0.56,60.2,Major Delay,No,116911.47,27.17,245.52,1024460.8,500,67.8,High,No,65.0
SC-10976,2024-03-17,Hamburg,Busan,Sea,Automotive,9128.63,25.88,4.29,4.7,Rain,0.551,18.08,1,Hamburg -> Busan,2024,Q1,3,Mar,Sunday,3,Medium,Poor,High,Light,Long-Haul,21.79,-3.71,-17.0,On Time,Yes,844.0,0.09,32.61,1890.0,8,50.3,Medium,Yes,63.9
SC-10977,2024-06-09,Rotterdam,Busan,Rail,Automotive,1245.67,75.8,3.63,8.3,Hurricane,0.95,9.21,1,Rotterdam -> Busan,2024,Q2,6,Jun,Sunday,5,High,Excellent,High,Light,Short-Haul,11.54,-2.33,-20.2,On Time,Yes,772.18,0.62,10.19,2077.3,22,64.7,High,No,68.6
SC-10978,2024-01-03,Shanghai,Marseille,Road,Pharmaceuticals,7697.31,269.25,2.71,1.8,Rain,0.643,6.94,0,Shanghai -> Marseille,2024,Q1,1,Jan,Wednesday,3,Low,Poor,Medium,Medium,Medium-Haul,9.3,-2.36,-25.4,On Time,Yes,31609.78,4.11,117.4,128495.0,62,35.9,Medium,No,66.2
SC-10979,2025-02-22,Rotterdam,Dubai,Rail,Pharmaceuticals,9154.22,288.32,3.08,1.6,Clear,0.629,6.86,0,Rotterdam -> Dubai,2025,Q1,2,Feb,Saturday,1,Low,Poor,Medium,Medium,Long-Haul,11.54,-4.68,-40.6,On Time,Yes,20713.58,2.26,71.84,58065.6,22,23.5,Low,No,49.4
SC-10980,2025-04-06,Busan,Shanghai,Sea,Automotive,5346.54,322.93,3.49,6.6,Clear,0.96,9.6,0,Busan -> Shanghai,2025,Q2,4,Apr,Sunday,1,Medium,Excellent,High,Medium,Medium-Haul,21.79,-12.19,-55.9,On Time,Yes,5822.82,1.09,18.03,13812.5,8,33.6,Low,No,68.1
SC-10981,2025-12-06,Hamburg,Singapore,Road,Pharmaceuticals,11678.23,9.47,3.15,8.7,Clear,0.903,10.66,1,Hamburg -> Singapore,2025,Q4,12,Dec,Saturday,1,High,Excellent,Medium,Light,Long-Haul,9.3,1.36,14.6,Minor Delay,No,1745.15,0.15,184.28,6856.8,62,43.7,Medium,No,56.6
SC-10982,2025-08-31,Hamburg,Los Angeles,Air,Electronics,2045.67,480.22,4.1,8.9,Storm,0.571,1.09,1,Hamburg -> Los Angeles,2025,Q3,8,Aug,Sunday,4,High,Poor,High,Heavy,Short-Haul,0.93,0.16,17.2,Minor Delay,No,62331.48,30.47,129.8,491185.8,500,72.5,High,No,67.1
SC-10983,2025-04-26,Dubai,Singapore,Air,Perishables,1589.5,23.25,2.38,6.4,Clear,0.885,0.57,1,Dubai -> Singapore,2025,Q2,4,Apr,Saturday,1,Medium,Excellent,Medium,Light,Short-Haul,0.93,-0.36,-38.7,On Time,Yes,2058.81,1.3,88.55,18477.9,500,35.0,Medium,No,65.4
SC-10984,2024-10-25,Busan,Singapore,Sea,Electronics,11058.74,72.39,2.19,5.3,Fog,0.957,28.81,0,Busan -> Singapore,2024,Q4,10,Oct,Friday,2,Medium,Excellent,Low,Light,Long-Haul,21.79,7.02,32.2,Minor Delay,No,2439.65,0.22,33.7,6404.3,8,34.5,Low,No,58.4
SC-10985,2024-02-03,Singapore,Rotterdam,Rail,Pharmaceuticals,7684.62,7.99,1.91,3.3,Storm,0.539,18.52,1,Singapore -> Rotterdam,2024,Q1,2,Feb,Saturday,4,Low,Poor,Low,Light,Medium-Haul,11.54,6.98,60.5,Major Delay,No,438.77,0.06,54.91,1350.8,22,51.0,Medium,No,65.8
SC-10986,2024-08-25,Antwerp,Shanghai,Road,Automotive,10481.83,283.86,1.32,9.8,Rain,0.913,11.31,1,Antwerp -> Shanghai,2024,Q3,8,Aug,Sunday,3,High,Excellent,Low,Medium,Long-Haul,9.3,2.01,21.6,Minor Delay,No,40417.46,3.86,142.39,184473.1,62,59.8,Medium,No,66.2
SC-10987,2024-10-22,Rotterdam,Dubai,Rail,Pharmaceuticals,6805.0,466.2,1.34,3.2,Fog,0.774,8.57,0,Rotterdam -> Dubai,2024,Q4,10,Oct,Tuesday,2,Low,Good,Low,Heavy,Medium-Haul,11.54,-2.97,-25.7,On Time,Yes,21585.63,3.17,46.3,69794.8,22,31.6,Medium,No,49.4
SC-10988,2025-12-24,Singapore,Antwerp,Rail,Pharmaceuticals,4072.83,333.31,4.07,7.4,Fog,0.835,5.57,0,Singapore -> Antwerp,2025,Q4,12,Dec,Wednesday,2,High,Good,High,Heavy,Medium-Haul,11.54,-5.97,-51.7,On Time,Yes,11460.14,2.81,34.38,29865.3,22,46.6,Medium,No,68.1
SC-10989,2024-10-16,Dubai,Los Angeles,Air,Textiles,12376.98,411.51,3.44,5.3,Storm,0.746,2.53,1,Dubai -> Los Angeles,2024,Q4,10,Oct,Wednesday,4,Medium,Good,High,Heavy,Long-Haul,0.93,1.6,172.0,Major Delay,No,308039.82,24.89,748.56,2546625.5,500,52.8,Medium,No,58.2
SC-10990,2025-12-20,Los Angeles,Rotterdam,Road,Automotive,12091.53,7.63,3.38,6.1,Rain,0.849,11.4,0,Los Angeles -> Rotterdam,2025,Q4,12,Dec,Saturday,3,Medium,Good,Medium,Light,Long-Haul,9.3,2.1,22.6,Minor Delay,No,1481.3,0.12,194.14,5720.0,62,46.9,Medium,No,53.9
SC-10991,2025-04-09,Dubai,Shanghai,Rail,Electronics,10573.1,271.47,3.23,3.9,Fog,0.517,13.82,0,Dubai -> Shanghai,2025,Q2,4,Apr,Wednesday,2,Medium,Poor,Medium,Medium,Long-Haul,11.54,2.28,19.8,Minor Delay,No,22784.28,2.15,83.93,63146.1,22,42.1,Medium,No,56.8
SC-10992,2024-03-13,Shanghai,Los Angeles,Sea,Pharmaceuticals,4446.1,230.32,4.0,9.6,Fog,0.881,14.11,0,Shanghai -> Los Angeles,2024,Q1,3,Mar,Wednesday,2,High,Excellent,High,Medium,Medium-Haul,21.79,-7.68,-35.2,On Time,Yes,3584.09,0.81,15.56,8192.2,8,54.0,Medium,No,62.0
SC-10993,2025-12-04,Antwerp,Dubai,Road,Electronics,9058.34,249.99,2.78,5.7,Rain,0.517,7.57,1,Antwerp -> Dubai,2025,Q4,12,Dec,Thursday,3,Medium,Poor,Medium,Medium,Long-Haul,9.3,-1.73,-18.6,On Time,Yes,34728.29,3.83,138.92,140398.7,62,55.3,Medium,No,60.0
SC-10994,2024-08-27,Los Angeles,Singapore,Road,Textiles,5734.12,37.03,4.07,9.4,Storm,0.728,14.93,1,Los Angeles -> Singapore,2024,Q3,8,Aug,Tuesday,4,High,Good,High,Light,Medium-Haul,9.3,5.63,60.5,Major Delay,No,3585.06,0.63,96.82,13164.7,62,69.8,High,No,72.1
SC-10995,2024-09-27,Busan,Singapore,Air,Automotive,1827.94,342.53,2.39,0.1,Clear,0.575,0.5,0,Busan -> Singapore,2024,Q3,9,Sep,Friday,1,Low,Poor,Medium,Heavy,Short-Haul,0.93,-0.43,-46.2,On Time,Yes,34909.56,19.1,101.92,313062.1,500,19.2,Low,No,58.4
SC-10996,2025-10-02,Rotterdam,Hamburg,Air,Automotive,13801.05,252.11,4.26,5.7,Rain,0.912,1.39,1,Rotterdam -> Hamburg,2025,Q4,10,Oct,Thursday,3,Medium,Excellent,High,Medium,Long-Haul,0.93,0.46,49.5,Major Delay,No,223271.99,16.18,885.61,1739691.4,500,43.4,Medium,No,55.8
SC-10997,2025-08-26,Hamburg,Singapore,Rail,Perishables,2483.87,382.81,3.51,7.2,Fog,0.657,3.98,1,Hamburg -> Singapore,2025,Q3,8,Aug,Tuesday,2,High,Good,High,Heavy,Short-Haul,11.54,-7.56,-65.5,On Time,Yes,7707.59,3.1,20.13,20918.7,22,51.1,Medium,No,56.6
SC-10998,2025-11-08,Dubai,Shanghai,Sea,Perishables,14278.44,243.16,2.05,7.5,Rain,0.727,32.71,1,Dubai -> Shanghai,2025,Q4,11,Nov,Saturday,3,High,Good,Low,Medium,Long-Haul,21.79,10.92,50.1,Major Delay,No,10459.24,0.73,43.01,27775.6,8,56.2,Medium,No,56.8
SC-10999,2024-07-21,Antwerp,Singapore,Rail,Pharmaceuticals,6967.08,75.54,3.06,9.0,Storm,0.714,20.95,1,Antwerp -> Singapore,2024,Q3,7,Jul,Sunday,4,High,Good,Medium,Light,Medium-Haul,11.54,9.41,81.5,Major Delay,No,4124.03,0.59,54.59,11578.5,22,68.6,High,No,64.6
SC-11000,2025-03-11,Dubai,Hamburg,Rail,Perishables,3184.43,324.48,2.96,0.0,Storm,0.886,6.68,1,Dubai -> Hamburg,2025,Q1,3,Mar,Tuesday,4,Low,Excellent,Medium,Heavy,Medium-Haul,11.54,-4.86,-42.1,On Time,Yes,8034.82,2.52,24.76,22732.2,22,27.4,Medium,No,61.5
SC-11001,2024-04-27,Shanghai,Marseille,Road,Textiles,8357.56,87.02,1.66,0.0,Storm,0.741,15.03,1,Shanghai -> Marseille,2024,Q2,4,Apr,Saturday,4,Low,Good,Low,Light,Medium-Haul,9.3,5.73,61.6,Major Delay,No,10176.03,1.22,116.94,45091.0,62,31.8,Low,No,66.2
SC-11002,2025-07-11,Shanghai,Hamburg,Air,Electronics,13157.71,436.32,3.15,4.7,Rain,0.894,0.7,1,Shanghai -> Hamburg,2025,Q3,7,Jul,Friday,3,Medium,Excellent,Medium,Heavy,Long-Haul,0.93,-0.23,-24.7,On Time,Yes,339722.02,25.82,778.61,2870486.0,500,40.0,Medium,No,63.2
SC-11003,2024-08-18,Shanghai,Dubai,Rail,Pharmaceuticals,11117.26,306.95,2.24,0.3,Rain,0.537,8.79,0,Shanghai -> Dubai,2024,Q3,8,Aug,Sunday,3,Low,Poor,Low,Medium,Long-Haul,11.54,-2.75,-23.8,On Time,Yes,25060.98,2.25,81.65,75073.7,22,33.1,Medium,No,59.2
SC-11004,2025-10-25,Singapore,Antwerp,Road,Pharmaceuticals,12195.14,79.44,1.37,9.7,Fog,0.596,15.17,0,Singapore -> Antwerp,2025,Q4,10,Oct,Saturday,2,High,Poor,Low,Light,Long-Haul,9.3,5.87,63.1,Major Delay,No,13218.06,1.08,166.39,60064.5,62,62.9,High,No,68.1
SC-11005,2024-06-01,Rotterdam,Hamburg,Air,Perishables,10052.36,481.21,4.33,2.2,Storm,0.776,2.38,0,Rotterdam -> Hamburg,2024,Q2,6,Jun,Saturday,4,Low,Good,High,Heavy,Long-Haul,0.93,1.45,155.9,Major Delay,No,311933.04,31.03,648.23,2418648.1,500,39.5,Medium,No,55.8
SC-11006,2024-09-29,Rotterdam,Marseille,Road,Automotive,10538.01,259.66,3.32,4.7,Fog,0.974,11.88,1,Rotterdam -> Marseille,2024,Q3,9,Sep,Sunday,2,Medium,Excellent,Medium,Medium,Long-Haul,9.3,2.58,27.7,Minor Delay,No,43737.01,4.15,168.44,169650.6,62,31.6,Low,No,75.0
SC-11007,2024-05-25,Singapore,Rotterdam,Sea,Automotive,12813.34,37.38,4.09,0.6,Storm,0.537,55.2,1,Singapore -> Rotterdam,2024,Q2,5,May,Saturday,4,Low,Poor,High,Light,Long-Haul,21.79,33.41,153.3,Major Delay,No,1687.15,0.13,45.14,3831.7,8,40.3,Medium,Yes,65.8
SC-11008,2024-03-14,Los Angeles,Busan,Sea,Electronics,4120.19,313.79,3.43,5.2,Fog,0.522,11.46,0,Los Angeles -> Busan,2024,Q1,3,Mar,Thursday,2,Medium,Poor,High,Medium,Medium-Haul,21.79,-10.33,-47.4,On Time,Yes,4340.83,1.05,13.83,10343.0,8,47.1,Medium,No,62.1
SC-11009,2024-03-02,Shanghai,Marseille,Sea,Pharmaceuticals,7596.66,127.35,2.38,3.8,Hurricane,0.578,99.82,1,Shanghai -> Marseille,2024,Q1,3,Mar,Saturday,5,Medium,Poor,Medium,Light,Medium-Haul,21.79,78.03,358.1,Major Delay,No,2994.21,0.39,23.51,7739.5,8,57.9,Medium,Yes,66.2
SC-11010,2024-06-18,Busan,Rotterdam,Air,Pharmaceuticals,3707.54,402.04,2.89,0.4,Fog,0.821,0.5,0,Busan -> Rotterdam,2024,Q2,6,Jun,Tuesday,2,Low,Good,Medium,Heavy,Medium-Haul,0.93,-0.43,-46.2,On Time,Yes,86461.06,23.32,215.06,745289.7,500,19.0,Low,No,58.7
SC-11011,2024-11-10,Los Angeles,Dubai,Air,Perishables,14821.19,409.09,3.43,3.4,Fog,0.699,1.54,0,Los Angeles -> Dubai,2024,Q4,11,Nov,Sunday,2,Medium,Good,High,Heavy,Long-Haul,0.93,0.61,65.6,Major Delay,No,366429.53,24.72,895.72,3031600.3,500,34.6,Medium,No,66.2
SC-11012,2025-09-01,Shanghai,Rotterdam,Road,Perishables,14188.86,489.49,4.37,3.9,Storm,0.913,30.44,1,Shanghai -> Rotterdam,2025,Q3,9,Sep,Monday,4,Medium,Excellent,High,Heavy,Long-Haul,9.3,21.14,227.3,Major Delay,No,119764.84,8.44,244.67,430608.9,62,42.2,Medium,No,58.0
SC-11013,2025-08-05,Singapore,Antwerp,Sea,Electronics,1071.69,251.43,2.04,9.9,Hurricane,0.536,16.94,1,Singapore -> Antwerp,2025,Q3,8,Aug,Tuesday,5,High,Poor,Low,Medium,Short-Haul,21.79,-4.85,-22.3,On Time,Yes,811.06,0.76,3.23,2155.6,8,83.5,High,Yes,68.1
SC-11014,2024-10-22,Antwerp,Busan,Air,Perishables,10730.84,228.02,4.09,2.1,Fog,0.598,1.11,0,Antwerp -> Busan,2024,Q4,10,Oct,Tuesday,2,Low,Poor,High,Medium,Long-Haul,0.93,0.18,19.4,Minor Delay,No,155142.28,14.46,680.39,1223423.1,500,32.5,Medium,No,58.4
SC-11015,2025-03-25,Busan,Shanghai,Road,Textiles,13916.1,376.98,4.25,5.4,Hurricane,0.65,84.12,1,Busan -> Shanghai,2025,Q1,3,Mar,Tuesday,5,Medium,Good,High,Heavy,Long-Haul,9.3,74.82,804.5,Major Delay,No,89708.16,6.45,237.97,325257.7,62,62.1,High,No,68.1
SC-11016,2024-05-07,Hamburg,Los Angeles,Road,Automotive,3118.34,67.1,3.41,9.9,Storm,0.813,7.91,1,Hamburg -> Los Angeles,2024,Q2,5,May,Tuesday,4,High,Good,Medium,Light,Medium-Haul,9.3,-1.39,-14.9,On Time,Yes,3367.1,1.08,50.18,12972.9,62,69.2,High,No,67.1
SC-11017,2025-04-24,Singapore,Busan,Sea,Textiles,8735.21,273.91,4.27,7.9,Hurricane,0.843,135.33,1,Singapore -> Busan,2025,Q2,4,Apr,Thursday,5,High,Good,High,Medium,Medium-Haul,21.79,113.54,521.1,Major Delay,No,8535.82,0.98,31.16,19141.3,8,66.3,High,No,58.3
SC-11018,2025-12-06,Dubai,Busan,Sea,Electronics,13774.58,273.58,2.51,9.9,Fog,0.562,41.73,1,Dubai -> Busan,2025,Q4,12,Dec,Saturday,2,High,Poor,Medium,Medium,Long-Haul,21.79,19.94,91.5,Major Delay,No,11785.83,0.86,43.08,30147.6,8,64.7,High,No,58.5
SC-11019,2024-11-07,Los Angeles,Hamburg,Road,Pharmaceuticals,992.22,45.65,4.34,9.7,Rain,0.972,0.76,1,Los Angeles -> Hamburg,2024,Q4,11,Nov,Thursday,3,High,Excellent,High,Light,Short-Haul,9.3,-8.54,-91.8,On Time,Yes,779.43,0.79,17.07,2808.3,62,57.6,Medium,No,52.5
SC-11020,2025-12-17,Shanghai,Dubai,Air,Automotive,10612.59,209.57,3.52,4.9,Rain,0.671,0.5,1,Shanghai -> Dubai,2025,Q4,12,Dec,Wednesday,3,Medium,Good,High,Medium,Long-Haul,0.93,-0.43,-46.2,On Time,Yes,135313.06,12.75,645.67,1112040.2,500,47.5,Medium,No,59.2
SC-11021,2025-02-16,Singapore,Busan,Air,Automotive,4811.56,426.79,1.34,7.0,Storm,0.857,1.29,1,Singapore -> Busan,2025,Q1,2,Feb,Sunday,4,High,Excellent,Low,Heavy,Medium-Haul,0.93,0.36,38.7,Minor Delay,No,104791.42,21.78,245.53,1026762.8,500,56.3,Medium,No,58.3
SC-11022,2024-10-05,Los Angeles,Marseille,Air,Automotive,13903.74,428.22,4.19,1.1,Hurricane,0.762,6.03,1,Los Angeles -> Marseille,2024,Q4,10,Oct,Saturday,5,Low,Good,High,Heavy,Long-Haul,0.93,5.1,548.4,Major Delay,No,380183.7,27.34,887.82,2976929.8,500,41.5,Medium,No,54.2
SC-11023,2025-05-27,Busan,Shanghai,Air,Textiles,14580.34,50.52,2.8,4.4,Storm,0.611,3.1,1,Busan -> Shanghai,2025,Q2,5,May,Tuesday,4,Medium,Poor,Medium,Light,Long-Haul,0.93,2.17,233.3,Major Delay,No,42428.09,2.91,839.83,368299.4,500,53.3,Medium,No,68.1
SC-11024,2025-07-06,Shanghai,Hamburg,Rail,Textiles,14191.86,46.27,2.72,8.1,Storm,0.923,40.25,1,Shanghai -> Hamburg,2025,Q3,7,Jul,Sunday,4,High,Excellent,Medium,Light,Long-Haul,11.54,28.71,248.8,Major Delay,No,5011.61,0.35,108.31,14446.5,22,58.7,Medium,No,63.2
SC-11025,2025-05-20,Busan,Hamburg,Sea,Automotive,7376.11,132.09,3.07,5.1,Clear,0.909,12.41,0,Busan -> Hamburg,2025,Q2,5,May,Tuesday,1,Medium,Excellent,Medium,Light,Medium-Haul,21.79,-9.38,-43.0,On Time,Yes,3183.56,0.43,24.1,7794.5,8,29.1,Low,Yes,65.0
SC-11026,2025-03-24,Singapore,Shanghai,Sea,Electronics,12999.62,437.51,1.69,7.0,Clear,0.698,24.68,1,Singapore -> Shanghai,2025,Q1,3,Mar,Monday,1,High,Good,Low,Heavy,Long-Haul,21.79,2.89,13.3,Minor Delay,No,16621.61,1.28,37.99,45499.7,8,43.1,Medium,No,60.2
SC-11027,2024-03-23,Dubai,Marseille,Rail,Perishables,12745.97,65.32,2.75,7.5,Storm,0.794,36.3,1,Dubai -> Marseille,2024,Q1,3,Mar,Saturday,4,High,Good,Medium,Light,Long-Haul,11.54,24.76,214.6,Major Delay,No,6369.14,0.5,97.51,18316.5,22,60.2,High,No,59.5
SC-11028,2025-09-04,Antwerp,Los Angeles,Sea,Electronics,5126.96,360.28,3.94,2.5,Fog,0.629,12.46,0,Antwerp -> Los Angeles,2025,Q3,9,Sep,Thursday,2,Low,Poor,High,Heavy,Medium-Haul,21.79,-9.33,-42.8,On Time,Yes,6437.29,1.26,17.87,14777.1,8,33.1,Low,Yes,63.2
SC-11029,2024-02-10,Dubai,Los Angeles,Road,Pharmaceuticals,12519.27,51.48,1.25,8.8,Rain,0.845,11.96,0,Dubai -> Los Angeles,2024,Q1,2,Feb,Saturday,3,High,Good,Low,Light,Long-Haul,9.3,2.66,28.6,Minor Delay,No,8700.64,0.69,169.01,39958.5,62,57.8,Medium,No,58.2
SC-11030,2025-03-18,Singapore,Shanghai,Sea,Electronics,1036.61,311.95,2.1,4.6,Storm,0.655,5.68,1,Singapore -> Shanghai,2025,Q1,3,Mar,Tuesday,4,Medium,Good,Low,Medium,Short-Haul,21.79,-16.11,-73.9,On Time,Yes,978.2,0.94,3.14,2587.0,8,52.8,Medium,No,60.2
SC-11031,2024-11-26,Hamburg,Shanghai,Rail,Electronics,9145.91,178.68,1.21,2.1,Clear,0.922,6.7,0,Hamburg -> Shanghai,2024,Q4,11,Nov,Tuesday,1,Low,Excellent,Low,Medium,Long-Haul,11.54,-4.84,-41.9,On Time,Yes,10991.57,1.2,61.52,35952.2,22,16.7,Low,No,63.6
SC-11032,2025-09-10,Singapore,Busan,Road,Textiles,3835.13,394.67,2.57,8.7,Fog,0.609,4.54,1,Singapore -> Busan,2025,Q3,9,Sep,Wednesday,2,High,Poor,Medium,Heavy,Medium-Haul,9.3,-4.76,-51.2,On Time,Yes,22831.3,5.95,57.85,93843.9,62,58.5,Medium,No,58.3
